Resolution,1920,1080,Distance,57,Width,47.8,Subject,ACT-05208452X,Test,CC9-04202018-132722,Calibration,CC9-04202018-132722
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
1507,-3.60491,13.221,0,12.7959,496.661,-16.1526,-3.60491,0.425046,13916.1,-0.558968,13.0783,0
1515,-0.819355,13.1272,0,12.7959,348.195,-11.7248,-0.819355,0.331248,13930.7,-0.682199,13.1751,0
1523,-0.686797,13.1538,0,12.7959,16.5698,3.33197,-0.686797,0.357903,13928.7,-0.663854,13.1777,0
1536,-0.675386,13.1836,0,12.7959,0.877759,2.29239,-0.675386,0.387704,13913.7,-0.688751,13.2136,0
1544,-0.65728,13.1845,0,12.7959,2.26329,0.107053,-0.65728,0.388561,13882.8,-0.629864,13.1165,0
1556,-0.635988,13.1896,0,12.7959,1.7743,0.425604,-0.635988,0.393668,13840.1,-0.588845,13.2374,0
1564,-0.635133,13.1894,0,12.7959,0.106914,-0.0256563,-0.635133,0.393463,13795.7,-0.565507,13.1662,0
1576,-0.635722,13.179,0,12.7959,-0.0490685,-0.868202,-0.635722,0.383044,13759,-0.73541,13.1932,0
1584,-0.624385,13.1646,0,12.7959,1.41712,-1.7925,-0.624385,0.368704,13730.8,-0.610613,13.1505,0
1595,-0.624825,13.1641,0,12.7959,-0.0400235,-0.0511309,-0.624825,0.368142,13704.2,-0.770356,13.1367,0
1603,-0.646007,13.1652,0,12.7959,-2.64776,0.137945,-0.646007,0.369245,13674.8,-0.563791,13.1421,0
1615,-0.640482,13.1653,0,12.7959,0.460442,0.00988441,-0.640482,0.369364,13644.3,-0.599197,13.1929,0
1624,-0.608671,13.1715,0,12.7959,3.53452,0.688361,-0.608671,0.375559,13617.8,-0.744788,13.2178,0
1636,-0.606963,13.179,0,12.7959,0.142367,0.621967,-0.606963,0.383023,13598.3,-0.567088,13.1729,0
1643,-0.618523,13.1803,0,12.7959,-1.65141,0.189865,-0.618523,0.384352,13583.1,-0.538262,13.2282,0
1655,-0.636901,13.1942,0,12.7959,-1.53157,1.16267,-0.636901,0.398304,13566,-0.64949,13.1955,0
1663,-0.637904,13.1972,0,12.7959,-0.125282,0.370416,-0.637904,0.401267,13543.6,-0.608086,13.1453,0
1675,-0.64359,13.2529,0,12.7959,-0.473884,4.63999,-0.64359,0.456947,13518.1,-0.637481,13.3012,0
1683,-0.661756,13.3062,0,12.7959,-2.27071,6.66032,-0.661756,0.51023,13495.5,-0.714403,13.3259,0
1695,-0.667868,13.3265,0,12.7959,-0.509302,1.6912,-0.667868,0.530524,13478.2,-0.699083,13.3685,0
1703,-0.668102,13.3273,0,12.7959,-0.0292979,0.0993662,-0.668102,0.531319,13464.6,-0.659792,13.3926,0
1717,-0.666564,13.327,0,12.7959,0.10989,-0.0218183,-0.666564,0.531014,13453.5,-0.652244,13.3145,0
1725,-0.628815,13.3188,0,12.7959,4.71854,-1.01925,-0.628815,0.52286,13445.1,-0.612231,13.2847,0
1737,-0.562212,13.2895,0,12.7959,5.55025,-2.44545,-0.562212,0.493514,13439.1,-0.314622,13.3029,0
1748,-0.491943,13.2481,0,12.7959,6.38811,-3.75682,-0.491943,0.452189,13434.8,-0.423123,13.2123,0
1756,-0.456182,13.2205,0,12.7959,4.47015,-3.45806,-0.456182,0.424525,13431.5,-0.469885,13.1861,0
1768,-0.444836,13.2066,0,12.7959,0.945461,-1.15187,-0.444836,0.410702,13429,-0.404079,13.146,0
1775,-0.44298,13.2052,0,12.7959,0.265222,-0.212216,-0.44298,0.409217,13427.9,-0.457699,13.2264,0
1787,-0.435567,13.1969,0,12.7959,0.617681,-0.687277,-0.435567,0.40097,13428.5,-0.42961,13.1768,0
1795,-0.422675,13.1956,0,12.7959,1.61152,-0.157835,-0.422675,0.399707,13431.4,-0.404228,13.2105,0
1807,-0.422426,13.1844,0,12.7959,0.0207665,-0.940909,-0.422426,0.388416,13437.9,-0.461856,13.2238,0
